ISIN/IISIN,Ticker,Security Description,Buy/Sell,Trade Date,Settlement Date,Currency,Price,Quantity,Principal,Commission,Total Market Charges,Net Money,Account,Account Name
CNE000001,000538.ZK,YUNNAN F,S,3/15/2022,3/15/2022,CNY,78.49,"80,000","62,79,200","4,395.44","6,961.75","62,67,843",ABCHKE,ABC HK A/C PBG HK
CNE100002,002714.ZK,MUYUAN F,S,3/15/2022,3/15/2022,CNY,52.61,"1,21,687","64,01,953","4,481.37","7,097.85","63,90,374",ABCHKE,ABC HK A/C PBG HK
AU0000001,YAL.AX,YANCOAL,S,3/15/2022,3/17/2022,AUD,4.28,"58,724","2,51,144.90",125.57,"1,094.80","2,50,019.40",ABCHKE,ABC HK A/C PBG HK
